CustomerID,Age,AnnualIncome,PurchaseHistory,SpendingScore,Cluster,KMeans_Cluster,Customer_Segment,Marketing_Suggestion
CUST001,28,24943,7,30,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST002,19,22373,9,13,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST003,29,39096,1,39,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST004,34,27035,1,12,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST005,31,33702,2,17,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST006,20,38056,7,11,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST007,21,27315,10,40,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST008,19,38910,10,22,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST009,19,27244,1,27,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST010,22,29489,7,14,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST011,35,23859,10,19,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST012,35,46742,3,13,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST013,24,32202,2,27,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST014,20,38493,1,29,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST015,24,36266,9,23,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST016,28,35256,10,39,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST017,32,31848,5,17,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST018,23,42904,4,12,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST019,27,37209,8,38,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST020,28,43902,8,19,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST021,20,23868,9,23,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST022,23,44809,6,14,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST023,33,33818,1,40,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST024,20,45053,9,28,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST025,28,31145,6,29,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST026,33,39002,8,12,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST027,20,28845,8,32,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST028,20,21988,5,30,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST029,32,29325,7,38,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST030,29,20739,8,21,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST031,23,40018,2,25,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
CUST032,19,27150,5,14,Budget,2,Budget,"Offer discounts, coupons, affordable products and seasonal deals."
